date,miles,gallons,cost
8/30/21,1004.4,10.54,34.57
10/12/21,1819.3,10.2,35.5
11/7/21,961.5,10.39,37.2
11/21/21,714.8,9.67,32.87
12/17/21,908.4,10.57,37.2
1/15/22,835.8,10.21,36.74
1/30/22,634.3,10.46,38.25
2/18/22,603.9,9.93,33.77
2/20/22,473.2,10.72,35.89
2/21/22,462,9.94,33.87
2/27/22,703,10.67,40.54
3/26/22,965.2,9.37,40.27
4/14/22,996.1,10.72,43.95
4/23/22,663.4,8.69,36.49
4/24/22,426.3,7.77,32.63
5/15/22,919.5,9.72,43.84
6/11/22,1330,8.9,43.16
9/3/22,867.8,9.69,39.24
10/15/22,744.8,10.16,40.22
11/23/22,751.9,8.75,35.86
12/17/22,681.2,8.86,31.36
12/28/22,508.4,10.39,38.02
2/11/23,898.4,10.19,37.7
3/13/23,745.7,8.49,29.29
3/22/23,1030,10.38,39.45
5/12/23,599,10.43,38.57
5/21/23,497.8,7.55,27.63
5/29/23,514.4,9.65,32.6
6/21/23,661.1,10.28,34.41
7/4/23,572.2,6.31,11.2
8/10/23,1165.7,9.67,38.28
8/20/23,676.5,8.6,33.16